model,split,threshold,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
Bayes + análisis,test,0.9836637093407874,0.8333333333333334,0.8461538461538461,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8333333333333334,6,1,1,5
Bayes + SFS,test,0.3572978331270664,0.9285714285714286,0.8461538461538461,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8333333333333334,6,1,1,5
PCA + Bayes,test,0.8274976690271703,0.8571428571428571,0.8461538461538461,0.8333333333333334,0.8571428571428571,0.8333333333333334,0.8333333333333334,6,1,1,5
Bayes + análisis,validation,0.9836637093407874,0.9761904761904763,0.9230769230769231,0.8571428571428571,1.0,1.0,0.9230769230769231,6,0,1,6
Bayes + SFS,validation,0.3572978331270664,0.9523809523809524,0.9230769230769231,1.0,0.8333333333333334,0.875,0.9333333333333333,5,1,0,7
PCA + Bayes,validation,0.8274976690271703,0.9523809523809524,0.9230769230769231,0.8571428571428571,1.0,1.0,0.9230769230769231,6,0,1,6
