index,name,class,split,combination,jaccard
13,unriped_tomato_35.jpeg,unripe,train,G,0.7585475356455671
13,unriped_tomato_35.jpeg,unripe,train,B,0.9148946967774676
13,unriped_tomato_35.jpeg,unripe,train,RG,0.8415732586068855
13,unriped_tomato_35.jpeg,unripe,train,RB,0.9072311120113429
13,unriped_tomato_35.jpeg,unripe,train,GB,0.9088805031446541
13,unriped_tomato_35.jpeg,unripe,train,RGB,0.9040543943591035
14,unriped_tomato_4.jpeg,unripe,train,R,0.5221952658842043
14,unriped_tomato_4.jpeg,unripe,train,G,0.5694658448895737
14,unriped_tomato_4.jpeg,unripe,train,B,0.2628029772886316
14,unriped_tomato_4.jpeg,unripe,train,RG,0.5446563134788022
14,unriped_tomato_4.jpeg,unripe,train,RB,0.3605426794799322
14,unriped_tomato_4.jpeg,unripe,train,GB,0.3738500581579782
14,unriped_tomato_4.jpeg,unripe,train,RGB,0.4644071989609747
15,unriped_tomato_43.jpeg,unripe,test,R,0.09100680759584379
15,unriped_tomato_43.jpeg,unripe,test,G,0.09462204168138467
15,unriped_tomato_43.jpeg,unripe,test,B,0.08079393588845932
15,unriped_tomato_43.jpeg,unripe,test,RG,0.09167898911143971
15,unriped_tomato_43.jpeg,unripe,test,RB,0.07689299359225053
15,unriped_tomato_43.jpeg,unripe,test,GB,0.08715663712481027
15,unriped_tomato_43.jpeg,unripe,test,RGB,0.08860571936583198
16,unriped_tomato_48.jpeg,unripe,train,R,0.5363654713045819
16,unriped_tomato_48.jpeg,unripe,train,G,0.584749111023311
16,unriped_tomato_48.jpeg,unripe,train,B,0.25011922551108
16,unriped_tomato_48.jpeg,unripe,train,RG,0.5596126689529958
16,unriped_tomato_48.jpeg,unripe,train,RB,0.3690902785805109
16,unriped_tomato_48.jpeg,unripe,train,GB,0.3825593952483801
16,unriped_tomato_48.jpeg,unripe,train,RGB,0.4765194245516192
17,unriped_tomato_51.jpeg,unripe,train,R,0.38572375957074817
17,unriped_tomato_51.jpeg,unripe,train,G,0.41523520084566595
17,unriped_tomato_51.jpeg,unripe,train,B,0.3261729790842284
17,unriped_tomato_51.jpeg,unripe,train,RG,0.4063329663925403
17,unriped_tomato_51.jpeg,unripe,train,RB,0.36007827788649704
17,unriped_tomato_51.jpeg,unripe,train,GB,0.38945918015845676
17,unriped_tomato_51.jpeg,unripe,train,RGB,0.38798637495087124
18,unriped_tomato_54.jpeg,unripe,validation,R,0.25784663285291015
18,unriped_tomato_54.jpeg,unripe,validation,G,0.10873349467159173
18,unriped_tomato_54.jpeg,unripe,validation,B,0.30879007238883144
18,unriped_tomato_54.jpeg,unripe,validation,RG,0.16982965217954532
18,unriped_tomato_54.jpeg,unripe,validation,RB,0.29656025947422326
18,unriped_tomato_54.jpeg,unripe,validation,GB,0.20722361809045226
18,unriped_tomato_54.jpeg,unripe,validation,RGB,0.22442216179469748
19,unriped_tomato_55.jpeg,unripe,validation,R,0.3584377406033457
19,unriped_tomato_55.jpeg,unripe,validation,G,0.4288809618179416
19,unriped_tomato_55.jpeg,unripe,validation,B,0.404587448231921
19,unriped_tomato_55.jpeg,unripe,validation,RG,0.3852760736196319
19,unriped_tomato_55.jpeg,unripe,validation,RB,0.3180499930948764
19,unriped_tomato_55.jpeg,unripe,validation,GB,0.3469635917121671
19,unriped_tomato_55.jpeg,unripe,validation,RGB,0.3517516713519643
20,unriped_tomato_58.jpeg,unripe,test,R,0.8235073225685318
20,unriped_tomato_58.jpeg,unripe,test,G,0.7966980123958111
20,unriped_tomato_58.jpeg,unripe,test,B,0.8931197190826292
20,unriped_tomato_58.jpeg,unripe,test,RG,0.814259715233915
20,unriped_tomato_58.jpeg,unripe,test,RB,0.8857922007090264
20,unriped_tomato_58.jpeg,unripe,test,GB,0.8863909200043654
20,unriped_tomato_58.jpeg,unripe,test,RGB,0.8769330945791959
21,unriped_tomato_6.jpeg,unripe,test,R,0.29892128771279286
21,unriped_tomato_6.jpeg,unripe,test,G,0.269656622284513
21,unriped_tomato_6.jpeg,unripe,test,B,0.23229070837166513
21,unriped_tomato_6.jpeg,unripe,test,RG,0.29060032535809227
21,unriped_tomato_6.jpeg,unripe,test,RB,0.17629927396529801
21,unriped_tomato_6.jpeg,unripe,test,GB,0.1850367151206354
21,unriped_tomato_6.jpeg,unripe,test,RGB,0.21808552998327627
22,unriped_tomato_61.jpeg,unripe,validation,R,0.36689814814814814
22,unriped_tomato_61.jpeg,unripe,validation,G,0.46481419978596994
22,unriped_tomato_61.jpeg,unripe,validation,B,0.4002992978013123
22,unriped_tomato_61.jpeg,unripe,validation,RG,0.4229452698890352
22,unriped_tomato_61.jpeg,unripe,validation,RB,0.35248614532019706
22,unriped_tomato_61.jpeg,unripe,validation,GB,0.45481960942959065
22,unriped_tomato_61.jpeg,unripe,validation,RGB,0.4155590598483142
23,unriped_tomato_62.jpeg,unripe,validation,R,0.42897460018814676
23,unriped_tomato_62.jpeg,unripe,validation,G,0.5781127335531481
23,unriped_tomato_62.jpeg,unripe,validation,B,0.5209539564378274
23,unriped_tomato_62.jpeg,unripe,validation,RG,0.30278665762536733
23,unriped_tomato_62.jpeg,unripe,validation,RB,0.5146390190135024
23,unriped_tomato_62.jpeg,unripe,validation,GB,0.49001380889831936
23,unriped_tomato_62.jpeg,unripe,validation,RGB,0.48770658358168517
24,unriped_tomato_64.jpeg,unripe,train,R,0.8039747064137308
24,unriped_tomato_64.jpeg,unripe,train,G,0.8004384184460501
24,unriped_tomato_64.jpeg,unripe,train,B,0.8857573149741824
24,unriped_tomato_64.jpeg,unripe,train,RG,0.8037711207248388
24,unriped_tomato_64.jpeg,unripe,train,RB,0.8712462781794981
24,unriped_tomato_64.jpeg,unripe,train,GB,0.8722753346080306
24,unriped_tomato_64.jpeg,unripe,train,RGB,0.8622392974753018
25,unriped_tomato_65.jpeg,unripe,validation,R,0.4851893676164003
25,unriped_tomato_65.jpeg,unripe,validation,G,0.5120862461046071
25,unriped_tomato_65.jpeg,unripe,validation,B,0.18981662964414828
25,unriped_tomato_65.jpeg,unripe,validation,RG,0.49871045392022006
25,unriped_tomato_65.jpeg,unripe,validation,RB,0.42052090881964277
25,unriped_tomato_65.jpeg,unripe,validation,GB,0.43232561073035364
25,unriped_tomato_65.jpeg,unripe,validation,RGB,0.46006376195536663
26,unriped_tomato_7.jpeg,unripe,train,R,0.3711118916598369
26,unriped_tomato_7.jpeg,unripe,train,G,0.4674091179976162
26,unriped_tomato_7.jpeg,unripe,train,B,0.3932780847145488
26,unriped_tomato_7.jpeg,unripe,train,RG,0.42687145952933125
26,unriped_tomato_7.jpeg,unripe,train,RB,0.3568396869280791
26,unriped_tomato_7.jpeg,unripe,train,GB,0.4576913080607433
26,unriped_tomato_7.jpeg,unripe,train,RGB,0.41966827342771473
27,unriped_tomato_72.jpeg,unripe,test,R,0.26338434459492494
27,unriped_tomato_72.jpeg,unripe,test,G,0.27161876858115386
27,unriped_tomato_72.jpeg,unripe,test,B,0.28350489830424186
27,unriped_tomato_72.jpeg,unripe,test,RG,0.26812893732468845
27,unriped_tomato_72.jpeg,unripe,test,RB,0.2013476372018796
27,unriped_tomato_72.jpeg,unripe,test,GB,0.2246004169562196
27,unriped_tomato_72.jpeg,unripe,test,RGB,0.15121021367142476
28,unriped_tomato_74.jpeg,unripe,train,R,0.9231133191388692
28,unriped_tomato_74.jpeg,unripe,train,G,0.907186568335164
28,unriped_tomato_74.jpeg,unripe,train,B,0.9333066132264529
28,unriped_tomato_74.jpeg,unripe,train,RG,0.919496855345912
28,unriped_tomato_74.jpeg,unripe,train,RB,0.9303141444745655
28,unriped_tomato_74.jpeg,unripe,train,GB,0.928850290813481
28,unriped_tomato_74.jpeg,unripe,train,RGB,0.9283555979643766
29,unriped_tomato_8.jpeg,unripe,validation,R,0.728694131564059
29,unriped_tomato_8.jpeg,unripe,validation,G,0.5808881217636905
29,unriped_tomato_8.jpeg,unripe,validation,B,0.799649231404106
29,unriped_tomato_8.jpeg,unripe,validation,RG,0.6998914896915207
29,unriped_tomato_8.jpeg,unripe,validation,RB,0.7956031509035679
29,unriped_tomato_8.jpeg,unripe,validation,GB,0.7952930270882687
29,unriped_tomato_8.jpeg,unripe,validation,RGB,0.7922538833453349
30,unriped_tomato_9.jpeg,unripe,train,R,0.7104218816777581
30,unriped_tomato_9.jpeg,unripe,train,G,0.6897397547113371
30,unriped_tomato_9.jpeg,unripe,train,B,0.7478134110787172
30,unriped_tomato_9.jpeg,unripe,train,RG,0.7039995159436074
30,unriped_tomato_9.jpeg,unripe,train,RB,0.7451218770895386
30,unriped_tomato_9.jpeg,unripe,train,GB,0.7422082628654264
30,unriped_tomato_9.jpeg,unripe,train,RGB,0.7406802227063665
