feature,mean_ripe,std_ripe,mean_unripe,std_unripe,cohen_d,auc_univariate,direction
R,187.1962934795179,30.164489509137304,144.0339786305147,20.441931298357005,1.6572039621546475,0.894736842105263,mayor en maduro
G,102.34175250404759,46.24166745326098,167.9004408892463,24.92478017133644,-1.7370655773173158,0.8823529411764706,mayor en inmaduro
B,69.40967007687217,41.19086267904298,81.16658917595359,26.845576642012336,-0.33422572477453016,0.6346749226006192,mayor en inmaduro
H,19.099875864229706,16.213216571415142,79.83473115808823,13.295303898227372,-4.07305446175294,0.9814241486068112,mayor en inmaduro
S,0.6498872245612898,0.17880452303361474,0.5448022993171916,0.13466887735511093,0.6585801345634532,0.6965944272445821,mayor en maduro
V,0.750718289300015,0.11576170386779656,0.6669009468134712,0.08835966011325463,0.8077073684254192,0.7554179566563467,mayor en maduro
a*,29.076848456734105,19.434428430817807,-20.7025146484375,7.516093040368441,3.307313808231919,0.956656346749226,mayor en maduro
b*,35.561881717882656,12.27988199553128,40.01038719626034,10.881166145817675,-0.38208821297716916,0.6253869969040248,mayor en inmaduro
