combination,train_mean,val_mean,dev_mean,dev_std,dev_median,dev_post_mean,dev_oracle_mean,dev_heuristic,dev_min_border,dev_max_saturation,dev_frac_below_03,test_mean,test_std,test_post_mean,iter_mean,iter_max
R,0.5546734322110318,0.4468339180128415,0.5277135536614842,0.2475304183699939,0.5136166125115875,0.5709285903465003,0.5412424109051869,0.5277135536614842,0.4972057405795931,0.4156261030079824,0.20833333333333334,0.4687818101851333,0.22811904472566838,0.47480365569686717,5.616666666666666,11
G,0.5079563949255441,0.5181763145306335,0.5105113748268164,0.26314453568367885,0.5472020955284851,0.5356611536428872,0.5437983870726661,0.5105113748268164,0.4732260261413536,0.47805484352696476,0.2708333333333333,0.40224520419755105,0.263678303147088,0.40179490440866655,4.85,11
B,0.5594830239100594,0.49194738006821037,0.5425991129495972,0.3036748589547653,0.5250095716488455,0.5822729168260278,0.5589566325416627,0.5425991129495972,0.4723291542525394,0.5453893944138424,0.2708333333333333,0.39184854653774653,0.2880137956183534,0.4055711825896629,5.25,13
RG,0.565253737416639,0.5323020359291574,0.5570158120447686,0.2579976874930593,0.5885886429652502,0.5928632404775414,0.5747984370597347,0.5570158120447686,0.5497810830304557,0.47670894543565173,0.16666666666666666,0.47156803998360236,0.2538700309591445,0.47262626756015913,6.066666666666666,17
RB,0.5853965674040222,0.5146332837085218,0.567705746480147,0.27836822066256217,0.5847668006816162,0.6061140162539477,0.5778129096742823,0.567705746480147,0.5516979261316602,0.494356600397585,0.1875,0.4588599819076988,0.29083161735695834,0.4567751661895842,5.916666666666667,47
GB,0.5440381475819955,0.5183895406118507,0.5376259958394592,0.30076612190023877,0.4876075113237555,0.5770708579166479,0.5645302431838303,0.5376259958394592,0.4961304598466905,0.5164677225538982,0.25,0.376073230907924,0.2941905220904256,0.3790452630018226,5.2,14
RGB,0.5614832677211855,0.5254376629781222,0.5524718665354197,0.2844058203712664,0.5409662538745917,0.5889090842310092,0.5744376861132436,0.5524718665354197,0.5346564038593447,0.4990303648497254,0.20833333333333334,0.4434574490262493,0.2656845356207126,0.4468854944278547,5.816666666666666,24
