,R,G,B,H,S,V,a*,b*
PC1,0.24807492720037705,-0.4701777227834991,-0.3308821071565865,-0.45339186900694906,0.3953608215885404,0.09300748279611304,0.47727991295077105,0.09791780923367868
PC2,0.4773272011814398,0.07515062320116717,0.4691426440663439,-0.22331865556308644,-0.35218586562585086,0.4508579716298714,0.21488134326706243,-0.3508037887874298
PC3,0.313865171312704,0.3276908282514477,-0.05752885449220497,0.1652383315474537,0.23852082401415392,0.5164224669271091,-0.15381690539768333,0.6451744816585381
PC4,0.02508623147313473,-0.4127997083825682,0.006067547572399426,0.8156195372224894,0.020761911229796513,0.2141471882530548,0.3235293990564263,-0.11284365231929017
PC5,-0.5572646048918618,-0.034292535886303044,0.13202379356437438,-0.1332393123476171,0.4364511757080366,0.5679329976213667,-0.18460062498842808,-0.325549191958715
PC6,0.38007021860685974,0.2826493386920396,0.24946290386841194,0.16431912202807436,0.6783591106100015,-0.34433195848521625,-0.017666624618600774,-0.3276824313070159
PC7,-0.08344207104797377,-0.45472277099112735,0.7351133777774185,-0.08493307634533803,0.10401828191970974,-0.17154001585134837,-0.11657511574112686,0.42991136185811846
PC8,-0.3866744348624824,0.455698353663184,0.21684585720832888,-0.007651131147825119,0.029175017769518717,-0.07061976011160723,0.741430861637095,0.20045740577037754
