,R,G,B,H,S,V,a*,b*
PC1,0.2482674326208837,-0.4694615646479928,-0.3317070103334722,-0.45294174440570306,0.3961145460565009,0.09370883912268368,0.4762961922815828,0.10117911730806448
PC2,0.4777883993613349,0.07405844401724226,0.4684462241387374,-0.2231385733797538,-0.3513736446915337,0.4509095417866229,0.21615285155044117,-0.3514199712228439
PC3,0.31279190159162457,0.32972153741508137,-0.056549041154549076,0.16586091992903595,0.23744766442810383,0.5169196635677047,-0.1557134816933058,0.6441298587565732
PC4,0.029048402108710698,-0.4126095802287299,0.004515434370113439,0.8167581956293037,0.01824732904188117,0.20976668882359312,0.3248090614532181,-0.10935826536626585
PC5,-0.5601120471784988,-0.041269891658409275,0.13314234684378962,-0.1288244305240774,0.43260973411154313,0.5705242550044071,-0.1818550753745245,-0.32330836084027087
PC6,0.3762829364780505,0.2819540682130831,0.2504468786659826,0.16326229858577082,0.6815959708562942,-0.34099512826925554,-0.018393363097291837,-0.3291591972945255
PC7,-0.08063212272137153,-0.4551227247149957,0.7343588771753967,-0.08447686240152133,0.10173161260567631,-0.17285944469299513,-0.11764843102308875,0.4311282912554131
PC8,-0.38675968129525456,0.4547749258311234,0.2181213587428451,-0.007906075945602345,0.029015501377207542,-0.07095946449786401,0.741229741466038,0.2016397977265475
