combination,train_mean,val_mean,dev_mean,dev_std,dev_median,dev_post_mean,dev_oracle_mean,dev_heuristic,dev_min_border,dev_max_saturation,dev_frac_below_03,test_mean,test_std,test_post_mean,iter_mean,iter_max
R,0.5547414646153026,0.4468339180128415,0.5277645779646873,0.24759293319612072,0.5136166125115875,0.5709225341263743,0.5412934352083901,0.5277645779646873,0.4972567648827962,0.4156771273111855,0.20833333333333334,0.468382998872533,0.2284917901396315,0.4743863631473972,5.583333333333333,11
G,0.5079620663696227,0.5181763145306335,0.5105156284098754,0.26315242206607514,0.5472020955284851,0.5356663911346665,0.543802640655725,0.5105156284098754,0.47323027972441256,0.47805909711002376,0.2708333333333333,0.40224520419755105,0.263678303147088,0.40179490440866655,4.983333333333333,11
B,0.5594865023245537,0.49194738006821037,0.5426017217604678,0.30368121815066124,0.5250095716488455,0.5822789115329926,0.5589592413525333,0.5426017217604678,0.4723526124837283,0.545392003224713,0.2708333333333333,0.39184854653774653,0.2880137956183534,0.4055711825896629,5.266666666666667,13
RG,0.565233982035178,0.5323323821014844,0.5570085820517545,0.257978745042927,0.5885886429652502,0.5927898939692721,0.5747974220291295,0.5570085820517545,0.5497784292753629,0.47669832626323627,0.16666666666666666,0.4715621026580113,0.2538757208063119,0.47262626756015913,6.216666666666667,17
RB,0.5854791019620554,0.5144727941147557,0.5677275250002304,0.27839114005694715,0.583856534977221,0.605901203908212,0.5778364365753107,0.5677275250002304,0.5517084338966884,0.494425904469135,0.1875,0.45977830792511715,0.29127538997594177,0.4577899144643362,5.666666666666667,16
GB,0.5440409469053904,0.5183621083384057,0.5376212372636443,0.30077754196219014,0.4876075113237555,0.5770777019343302,0.5645409563078521,0.5376212372636443,0.49612553331469694,0.5164714406173498,0.25,0.37613268724768784,0.29413938852669064,0.3792119391096786,5.166666666666667,13
RGB,0.5615164313029201,0.5254600915337581,0.5525023463606296,0.28446040899926855,0.5409813342770264,0.5889288481381244,0.5745212884602676,0.5525023463606296,0.5347436496838527,0.4990299733289105,0.20833333333333334,0.44343313766075415,0.2657203932940608,0.4468660937688584,5.733333333333333,24
