strategy,mask_source,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
Bayes + análisis,kmeans,0.987037037037037,0.03700509478267991,0.9722222222222222,0.039955275123782025,0.961111111111111,0.07169717785867938,0.9833333333333333,0.050854762771560785
Bayes + SFS,kmeans,0.9925925925925926,0.02054666543455739,0.9777777777777777,0.037481370425733636,0.9666666666666667,0.067806350362081,0.9888888888888889,0.042284688617077064
PCA + Bayes,kmeans,0.9796296296296296,0.04609791468216925,0.95,0.07453559924999299,0.9222222222222223,0.12934652537689348,0.9777777777777777,0.09522441062056096
Bayes + análisis,reference,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Bayes + SFS,reference,1.0,0.0,0.9666666666666667,0.056222055638600436,0.9666666666666667,0.08070569968525038,0.9666666666666667,0.09181023240329132
PCA + Bayes,reference,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Bayes + análisis,kmeans_linear_hue,0.9805555555555556,0.04505684409342746,0.9722222222222222,0.05507454602093889,0.95,0.10854312136382616,0.9944444444444444,0.03042903097250922
Bayes + SFS,kmeans_linear_hue,0.9768518518518519,0.0478815440343913,0.9583333333333334,0.07814295770624798,0.95,0.10854312136382616,0.9666666666666667,0.1268540658512312
PCA + Bayes,kmeans_linear_hue,0.9583333333333334,0.06306945768059453,0.8916666666666667,0.08232144267061678,0.8555555555555556,0.14992548170293457,0.9277777777777777,0.12132200696576773
