combination,train_mean,val_mean,dev_mean,dev_std,dev_median,dev_post_mean,dev_oracle_mean,dev_heuristic,dev_min_border,dev_max_saturation,dev_frac_below_03,test_mean,test_std,test_post_mean,iter_mean,iter_max
R,0.5546734322110318,0.4468339180128415,0.5277135536614842,0.2475304183699939,0.5136166125115875,0.5709285903465003,0.5412424109051869,0.5277135536614842,0.4972057405795931,0.4156261030079824,0.20833333333333334,0.4687818101851333,0.22811904472566838,0.47480365569686717,5.616666666666666,11
G,0.5079563949255441,0.5181763145306335,0.5105113748268164,0.26314453568367885,0.5472020955284851,0.5356611536428872,0.5437983870726661,0.5105113748268164,0.4732260261413536,0.47805484352696476,0.2708333333333333,0.40224520419755105,0.263678303147088,0.40179490440866655,4.85,11
B,0.5594830239100594,0.49194738006821037,0.5425991129495972,0.3036748589547653,0.5250095716488455,0.5822729168260278,0.5589566325416627,0.5425991129495972,0.4723291542525394,0.5453893944138424,0.2708333333333333,0.39184854653774653,0.2880137956183534,0.4055711825896629,5.25,13
RG,0.5652607821171853,0.5323020359291574,0.5570210955701783,0.25802315990535374,0.5885886429652502,0.5928836737840112,0.5748249542598557,0.5570210955701783,0.5498076002305767,0.47671422896106147,0.16666666666666666,0.47156803998360236,0.2538700309591445,0.47262626756015913,6.0,17
RB,0.5854028369075687,0.5146291412750907,0.5677094129994491,0.2783707283399979,0.5847668006816162,0.6061131207038143,0.5778165761935843,0.5677094129994491,0.5517015926509622,0.494360266916887,0.1875,0.4588599819076988,0.29083161735695834,0.4567751661895842,5.933333333333334,47
GB,0.5440492904219982,0.5183895406118507,0.5376343529694613,0.3007775974787124,0.4876075113237555,0.5770807524771046,0.5645386003138322,0.5376343529694613,0.49613881697669254,0.5164760796839003,0.25,0.3760746828802861,0.2941891354926245,0.379045798147761,5.25,14
RGB,0.5614856774711421,0.5254376629781222,0.5524736738478871,0.28440939641533675,0.5409662538745917,0.5889088103234251,0.5744395727685934,0.5524736738478871,0.5346582905146945,0.4990321721621928,0.20833333333333334,0.4434566180717729,0.26571882210321374,0.44687992814017763,5.85,24
