,R,G,B,H,S,V,a*,b*
PC1,0.2480733640407952,-0.47017675895968936,-0.3308846160120388,-0.45338975738100684,0.395364195187785,0.0930078768227266,0.4772790367871731,0.09791797195690846
PC2,0.47733293679924177,0.0751540666406233,0.4691418356017623,-0.22332034685191737,-0.35218016908296734,0.4508617084096494,0.2148802152454926,-0.35079685855892534
PC3,0.313857455200064,0.3276872410836599,-0.05753114515665587,0.1652433651031137,0.2385218572534847,0.516418809422597,-0.15381796789472807,0.645180856126647
PC4,0.025089812894651304,-0.4127976796812317,0.006071090158541778,0.815620286263287,0.02076477389211956,0.21414341002757167,0.32352995924318306,-0.11284970987051451
PC5,-0.557259159454817,-0.03428783613460157,0.13202653659828661,-0.13323560999784917,0.4364589138949989,0.5679291141842139,-0.18460213150965038,-0.325554957180667
PC6,0.3800766771443622,0.2826573239315245,0.24945710928242767,0.16431656133095876,0.6783541385824731,-0.3443400797911056,-0.017667466641581087,-0.32767546102744455
PC7,-0.08344376911446295,-0.45472233574432874,0.7351147660289128,-0.08493365178700346,0.10402206655762525,-0.17154268773530434,-0.11657138944994758,0.42990803370827274
PC8,-0.3866755211995306,0.4556990324530078,0.216843360988061,-0.007651418438282237,0.029173931248189913,-0.07061872946399173,0.7414314784190585,0.20045469640668126
