threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp,fpr,youden
-11.98180344942192,1.0,0.5,1.0,0.0,0.5,0.5,0.6666666666666666,0,6,0,6,1.0,0.0
-10.116664378931855,1.0,0.5833333333333334,1.0,0.16666666666666666,0.5833333333333334,0.5454545454545454,0.7058823529411764,1,5,0,6,0.8333333333333334,0.16666666666666663
-8.950883565690264,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6,0.7499999999999999,2,4,0,6,0.6666666666666667,0.33333333333333326
-7.846338453071558,1.0,0.75,1.0,0.5,0.75,0.6666666666666666,0.8,3,3,0,6,0.5,0.5
-4.428410430242071,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333333,0.75,0.8571428571428571,4,2,0,6,0.33333333333333337,0.6666666666666666
0.7997512095700756,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6,0.16666666666666663,0.8333333333333334
7.469312183561936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6,0.0,1.0
11.804575857870812,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5,0.0,0.8333333333333334
16.84874924159456,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8,6,0,2,4,0.0,0.6666666666666666
22.554723923066454,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3,0.0,0.5
25.33543659851742,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,6,0,4,2,0.0,0.3333333333333333
28.82294445913515,1.0,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334,1.0,0.2857142857142857,6,0,5,1,0.0,0.16666666666666666
31.47138062921691,1.0,0.5,0.0,1.0,0.5,0.0,0.0,6,0,6,0,0.0,0.0
