,R,G,B,H,S,V,a*,b*
PC1,0.2500887672614707,-0.4708596757015031,-0.3278105747315262,-0.455210771854987,0.3926328278418216,0.09485612793366904,0.4780431641012624,0.09688480437976724
PC2,0.4733941980383009,0.07379014487025215,0.47089363860253575,-0.2209102458011466,-0.3569765497656402,0.44534063116756306,0.21490304563448182,-0.35772466833189354
PC3,0.3172395318029388,0.32966584393481263,-0.05475759578126253,0.16141958524960487,0.23674360777299563,0.5231046801723828,-0.1528792658574399,0.6391922416906878
PC4,0.030159381470447267,-0.4130294330992898,0.00510832776894464,0.8172621596669903,0.018070798749364975,0.2080564404959463,0.3247290944672694,-0.1071939619289969
PC5,-0.5619373160991598,-0.04316742956041375,0.12931291135596168,-0.12805245435725524,0.4275420381256294,0.572580930387393,-0.18059103245896407,-0.3255603300121859
PC6,0.37311691728911495,0.2804528773969475,0.2533557680059865,0.16168808844156674,0.6841371589895519,-0.33828668615880364,-0.019141327119660267,-0.33007550911897143
PC7,-0.08465832135432555,-0.45259709613367616,0.7351470393805355,-0.08606873043473556,0.10174256320312673,-0.16921119631511594,-0.11708411030925114,0.4329516997492617
PC8,-0.38684133744662347,0.45630244817556376,0.21545945134592734,-0.007733110118468833,0.029081265231862732,-0.06948967938207645,0.7414729659367425,0.20050582166601363
