strategy,split,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
Bayes + análisis,val,"H,G,R",7.4593585700846905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
Bayes + SFS,val,"H,S,V",4.504718295957499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
PCA + Bayes,val,"PC1,PC2,PC3",1.7851788449697938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
Bayes + análisis,test,"H,G,R",7.4593585700846905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
Bayes + SFS,test,"H,S,V",4.504718295957499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
PCA + Bayes,test,"PC1,PC2,PC3",1.7851788449697938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
