class,region,R,R_std,G,G_std,B,B_std,H,H_std,S,S_std,V,V_std,a*,a*_std,b*,b*_std
ripe,fondo,156.5317840576172,83.98262023925781,151.36805725097656,81.6566390991211,126.34368133544922,92.57721710205078,39.90010070800781,73.48243713378906,0.36051738262176514,0.3425627052783966,0.6602901816368103,0.2969807982444763,-1.1649914979934692,19.162490844726562,14.77156925201416,19.138269424438477
ripe,fruto,194.03656005859375,49.9984245300293,75.31819915771484,58.468570709228516,45.36941146850586,50.257110595703125,12.581995010375977,20.104921340942383,0.7898154854774475,0.21398356556892395,0.7628172636032104,0.19284501671791077,42.87968063354492,21.35997772216797,42.38292694091797,15.953094482421875
unripe,fondo,177.79164123535156,85.30317687988281,179.25668334960938,81.54275512695312,162.22373962402344,95.92803192138672,29.61277198791504,57.681514739990234,0.21755456924438477,0.2792133688926697,0.7240062952041626,0.3059580624103546,-3.1151034832000732,10.037406921386719,9.198376655578613,13.51742172241211
unripe,fruto,144.7136993408203,47.289005279541016,171.38119506835938,45.09715270996094,74.36872863769531,48.62032699584961,78.63915252685547,20.83905792236328,0.5931329131126404,0.2158084213733673,0.6728853583335876,0.17581205070018768,-23.1713924407959,8.526402473449707,44.358787536621094,16.34592628479004
