threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp,fpr,youden
-4.361505725061466,1.0,0.5,1.0,0.0,0.5,0.5,0.6666666666666666,0,6,0,6,1.0,0.0
-3.0669419734769234,1.0,0.5833333333333334,1.0,0.16666666666666666,0.5833333333333334,0.5454545454545454,0.7058823529411764,1,5,0,6,0.8333333333333334,0.16666666666666663
-2.632206551614489,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6,0.7499999999999999,2,4,0,6,0.6666666666666667,0.33333333333333326
-2.1576625639497182,1.0,0.75,1.0,0.5,0.75,0.6666666666666666,0.8,3,3,0,6,0.5,0.5
-1.8071541243599794,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333333,0.75,0.8571428571428571,4,2,0,6,0.33333333333333337,0.6666666666666666
-1.0674226512573006,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6,0.16666666666666663,0.8333333333333334
1.7851788449697938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6,0.0,1.0
5.895566208635614,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5,0.0,0.8333333333333334
11.019046104864593,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8,6,0,2,4,0.0,0.6666666666666666
14.318601253887312,1.0,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,6,0,3,3,0.0,0.5
14.713361199137445,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,6,0,4,2,0.0,0.3333333333333333
16.565305593623567,1.0,0.5833333333333334,0.16666666666666666,1.0,0.5833333333333334,1.0,0.2857142857142857,6,0,5,1,0.0,0.16666666666666666
19.17994651399184,1.0,0.5,0.0,1.0,0.5,0.0,0.0,6,0,6,0,0.0,0.0
