index,name,class,split,combination,n_iter,jaccard_oracle_cluster,jaccard_heuristic,jaccard_min_border,jaccard_max_saturation,jaccard,jaccard_post
0,riped_tomato_10.jpeg,unripe,train,R,7,0.37466497390323034,0.37466497390323034,0.37466497390323034,0.11818837097549255,0.37466497390323034,0.4510129335012018
0,riped_tomato_10.jpeg,unripe,train,G,8,0.37964644898320854,0.37964644898320854,0.37964644898320854,0.10710387935311043,0.37964644898320854,0.4667253811856663
0,riped_tomato_10.jpeg,unripe,train,B,5,0.20777414474647407,0.1995891349007076,0.1995891349007076,0.20777414474647407,0.1995891349007076,0.22948225186524984
0,riped_tomato_10.jpeg,unripe,train,RG,9,0.37440651141758985,0.37440651141758985,0.37440651141758985,0.11299421171392132,0.37440651141758985,0.4615731858706692
0,riped_tomato_10.jpeg,unripe,train,RB,8,0.2994703680029221,0.2994703680029221,0.2994703680029221,0.15439795046968402,0.2994703680029221,0.35496162129327957
0,riped_tomato_10.jpeg,unripe,train,GB,7,0.3043074884029158,0.3043074884029158,0.3043074884029158,0.14903607274172712,0.3043074884029158,0.36807496301167186
0,riped_tomato_10.jpeg,unripe,train,RGB,8,0.3317639673571877,0.3317639673571877,0.3317639673571877,0.13522237279783172,0.3317639673571877,0.4001540747262422
1,unriped_tomato_1.jpeg,unripe,test,R,7,0.18462501303848963,0.18462501303848963,0.18462501303848963,0.0752497371188223,0.18462501303848963,0.21067015209125475
1,unriped_tomato_1.jpeg,unripe,test,G,8,0.20303629795286426,0.20303629795286426,0.20303629795286426,0.042080898535326705,0.20303629795286426,0.22431726430776538
1,unriped_tomato_1.jpeg,unripe,test,B,7,0.16239189339668164,0.16239189339668164,0.0641958967571145,0.16239189339668164,0.16239189339668164,0.19148121193549622
1,unriped_tomato_1.jpeg,unripe,test,RG,7,0.20137171651192087,0.20137171651192087,0.20137171651192087,0.05373939587548362,0.20137171651192087,0.22253945182724252
1,unriped_tomato_1.jpeg,unripe,test,RB,8,0.12934173669467788,0.10149196997054072,0.10149196997054072,0.12934173669467788,0.10149196997054072,0.11317795922781593
1,unriped_tomato_1.jpeg,unripe,test,GB,8,0.11853321575543797,0.11853321575543797,0.11630192050022331,0.11853321575543797,0.11853321575543797,0.17000944287063266
1,unriped_tomato_1.jpeg,unripe,test,RGB,3,0.1335934596804162,0.1335934596804162,0.1335934596804162,0.10520692357005484,0.1335934596804162,0.14790344397045052
2,unriped_tomato_11.jpeg,unripe,train,R,2,0.9548663640948059,0.9548663640948059,0.9548663640948059,0.9548663640948059,0.9548663640948059,0.9580675718345437
2,unriped_tomato_11.jpeg,unripe,train,G,7,0.25455245515491937,0.25088227880010083,0.25088227880010083,0.25088227880010083,0.25088227880010083,0.24174088813088246
