combination,train_mean,val_mean,dev_mean,dev_std,dev_median,dev_post_mean,dev_oracle_mean,dev_heuristic,dev_min_border,dev_max_saturation,dev_frac_below_03,test_mean,test_std,test_post_mean,iter_mean,iter_max
R,0.5546086383977806,0.44697900814262465,0.5277012308339918,0.24743880594758516,0.5160333026999329,0.5707331357960522,0.5412168084898479,0.5277012308339918,0.504489419007366,0.41570260883397014,0.20833333333333334,0.4684330306422085,0.2279671853500414,0.47470319635468927,6.133333333333334,28
G,0.5075312697850475,0.5181952129087378,0.51019725556597,0.2628453861329148,0.5472020955284851,0.5349767808720537,0.5434376050691027,0.51019725556597,0.46960347064830654,0.47748592385883,0.2708333333333333,0.4020481117030503,0.2639070610443059,0.4016226147563117,4.933333333333334,11
B,0.5596150647445132,0.4920202702945302,0.5427163661320172,0.303696888285047,0.5255034253602979,0.5825230938530724,0.5590122413634465,0.5427163661320172,0.47241371103233515,0.5454545421123066,0.2708333333333333,0.3921486128014106,0.2877230974283826,0.4057694130322473,5.45,13
RG,0.5650829688857989,0.5322906614279637,0.5568848920213402,0.25792396244617477,0.5879609678965458,0.5927261600781217,0.5746673275222091,0.5568848920213402,0.5496337850911787,0.4714631196069858,0.16666666666666666,0.47126690670521637,0.2537719449518367,0.4724888137206447,6.066666666666666,15
RB,0.5854717436413386,0.5143225278670256,0.5676844396977603,0.2782928673359799,0.583856534977221,0.605686422670475,0.5777419092725672,0.5676844396977603,0.551633072746199,0.4943733604376761,0.1875,0.4601862438589601,0.29050931958389153,0.4572492201711745,5.416666666666667,14
GB,0.5442996232543219,0.5182746992161452,0.5377933922447777,0.3006733057620681,0.48824209852779993,0.5769596310531095,0.5645177504004019,0.5377933922447777,0.49616455047011687,0.5164479973331962,0.25,0.37600058126063657,0.2942172598298406,0.37869641608152066,5.25,12
RGB,0.5614949160728527,0.5253404720699276,0.5524563050721214,0.28453286555790047,0.5409551259962433,0.5889101509137061,0.5743877807279588,0.5524563050721214,0.534654547353597,0.4990807779415644,0.22916666666666666,0.44329574743364825,0.2655843325508278,0.4477986895485148,6.0,24
