step,added,subset,cv_auc,cv_auc_std,selected
1,H,H,0.9808333333333333,0.04747806511081371,False
2,S,"H,S",0.9866666666666667,0.03969501787938184,False
3,V,"H,S,V",0.9879166666666667,0.03910678045784103,True
4,B,"H,S,V,B",0.9879166666666667,0.03910678045784103,False
5,R,"H,S,V,B,R",0.9866666666666667,0.03602661053536213,False
6,G,"H,S,V,B,R,G",0.985,0.040833333333333326,False
7,a*,"H,S,V,B,R,G,a*",0.9825,0.043573054874671224,False
8,b*,"H,S,V,B,R,G,a*,b*",0.9795833333333333,0.046489619510404916,False
